"Freq [GHz]","arg(St(stripline1_T1,stripline1_T1)) [deg]","arg(St(stripline1_T2,stripline1_T1)) [deg]","arg(St(stripline1_T3,stripline1_T1)) [deg]","arg(St(stripline1_T4,stripline1_T1)) [deg]"
1,179.970638915491,-0.0109600026783159,-0.0141742385904658,-0.0147134515420474
1.02,179.970911385698,-0.011059073619208,-0.0140837626374976,-0.0147311812866529
1.04,179.971069769335,-0.0111740781428195,-0.0140478615624554,-0.0147880805728054
1.06,179.971125165661,-0.0113024962355633,-0.014061148971894,-0.0148801578606733
1.08,179.971088321561,-0.0114420801913664,-0.0141184521334844,-0.0150035821478414
1.1,179.970969524834,-0.0115908365691744,-0.0142148514047555,-0.0151547130161367
1.12,179.970778527509,-0.0117470075638771,-0.0143457074231438,-0.0153301213872797
1.14,179.970524493868,-0.0119090522958393,-0.0145066782882101,-0.0155266026551781
1.16,179.970215968658,-0.0120756283788179,-0.014693728623607,-0.0157411836273234
1.18,179.969860861668,-0.0122455740330755,-0.0149031321170111,-0.0159711244855157
1.2,179.969466445381,-0.0124178909463884,-0.0151314688988297,-0.0162139167906366
1.22,179.969039362974,-0.0125917280169467,-0.0153756188771202,-0.016467278388559
1.24,179.968585644343,-0.0127663660616893,-0.0156327519880271,-0.0167291459456524
1.26,179.96811072823,-0.0129412035407842,-0.0159003161423467,-0.0169976657154488
1.28,179.967619488841,-0.0131157433177409,-0.016176023527012,-0.0172711830275807
1.3,179.967116265631,-0.0132895804523197,-0.0164578357875969,-0.017548230925306
1.32,179.966604895156,-0.0134623910019293,-0.016743948544676,-0.0178275182744651
1.34,179.966088744118,-0.0136339218003448,-0.0170327755836727,-0.0181079176327571
1.36,179.96557074287,-0.0138039811730434,-0.0173229330148116,-0.0183884530834001
1.38,179.965053418815,-0.0139724305350493,-0.0176132236221273,-0.0186682882229187
1.4,179.964538929247,-0.0141391768250672,-0.0179026215809081,-0.0189467144310882
1.42,179.96402909328,-0.0143041657158734,-0.0181902576763601,-0.0192231395304737
1.44,179.963525422602,-0.0144673755486687,-0.018475405124873,-0.0194970769138458
1.46,179.963029150861,-0.0146288119382421,-0.0187574660691538,-0.0197681351952439
1.48,179.962541261544,-0.0147885029868884,-0.0190359587967078,-0.0200360084247466
1.5,179.962062514267,-0.014946495070512,-0.0193105057044951,-0.020300466885269
1.52,179.961593469414,-0.0151028491300277,-0.0195808220347252,-0.0205613484863208
1.54,179.961134511136,-0.0152576374343509,-0.0198467053716259,-0.0208185507525678
1.56,179.960685868679,-0.0154109407656723,-0.0201080258928358,-0.0210720234035565
1.58,179.960247636106,-0.0155628459857278,-0.02036471736552,-0.0213217615068204
1.6,179.959819790436,-0.0157134439442623,-0.0206167688517179,-0.0215677991901768
1.62,179.959402208264,-0.0158628276957339,-0.0208642171072081,-0.0218102038911089
1.64,179.958994680926,-0.0160110909928723,-0.0211071396359968,-0.0220490711148028
1.66,179.958596928268,-0.0161583270183479,-0.0213456483708655,-0.0222845196852527
1.68,179.958208611122,-0.0163046273420102,-0.0215798839431289,-0.0225166874463592
1.7,179.957829342527,-0.0164500810596807,-0.0218100105091651,-0.0227457274045193
1.72,179.957458697815,-0.0165947741092796,-0.02203621109803,-0.0229718042666013
1.74,179.957096223596,-0.0167387887287495,-0.0222586834434648,-0.0231950913608154
1.76,179.956741445757,-0.0168822030452879,-0.0224776362681051,-0.0234157679037623
1.78,179.956393876523,-0.0170250907757528,-0.0226932859883349,-0.0236340165919266
1.8,179.956053020666,-0.0171675210236957,-0.0229058538019366,-0.023850021491876
1.82,179.955718380925,-0.0173095581583377,-0.0231155631356236,-0.024063966203241
1.84,179.955389462701,-0.0174512617657962,-0.0233226374163975,-0.024276032274204
