"Freq [GHz]","dB(St(stripline1_T3,stripline1_T1)) []"
1,-6.66657170351791
1.02,-6.66655938499603
1.04,-6.66654583195419
1.06,-6.66653179958473
1.08,-6.6665179048736
1.1,-6.66650464397939
1.12,-6.66649240798497
1.14,-6.66648149710439
1.16,-6.66647213344042
1.18,-6.66646447239184
1.2,-6.6664586128111
1.22,-6.6664546060138
1.24,-6.66645246373676
1.26,-6.66645216514019
1.28,-6.66645366294173
1.3,-6.66645688876777
1.32,-6.66646175779928
1.34,-6.66646817278606
1.36,-6.66647602749578
1.38,-6.66648520965969
1.4,-6.66649560347168
1.42,-6.66650709169101
1.44,-6.66651955739664
1.46,-6.66653288543437
1.48,-6.66654696359428
1.5,-6.66656168355468
1.52,-6.66657694162057
1.54,-6.66659263928564
1.56,-6.66660868364263
1.58,-6.66662498766181
1.6,-6.6666414703594
1.62,-6.66665805687107
1.64,-6.66667467844687
1.66,-6.66669127237988
1.68,-6.66670778188139
1.7,-6.66672415591196
1.72,-6.6667403489775
1.74,-6.66675632089841
1.76,-6.6667720365583
1.78,-6.66678746563757
1.8,-6.6668025823382
1.82,-6.66681736510226
1.84,-6.66683179632892
1.86,-6.66684586209265
1.88,-6.66685955186496
1.9,-6.66687285824176
1.92,-6.66688577667851
1.94,-6.66689830523366
1.96,-6.66691044432222
1.98,-6.66692219647968
2,-6.66693356613747
2.02,-6.66694455940949
2.04,-6.66695518389089
2.06,-6.66696544846834
2.08,-6.66697536314243
2.1,-6.66698493886157
2.12,-6.66699418736754
2.14,-6.66700312105229
2.16,-6.6670117528254
2.18,-6.66702009599233
2.2,-6.66702816414284
2.22,-6.66703597104873
2.24,-6.66704353057141
2.26,-6.66705085657777
2.28,-6.66705796286461
2.3,-6.66706486309116
2.32,-6.66707157071865
2.34,-6.66707809895713
2.36,-6.66708446071867
2.38,-6.66709066857676
2.4,-6.66709673473159
2.42,-6.66710267098004
2.44,-6.66710848869134
2.46,-6.66711419878654
2.48,-6.6671198117225
2.5,-6.66712533747983
2.52,-6.66713078555387
2.54,-6.66713616494936
2.56,-6.66714148417773
2.58,-6.66714675125684
2.6,-6.66715197371359
2.62,-6.66715715858819
2.64,-6.66716231244053
2.66,-6.66716744135824
2.68,-6.66717255096598
2.7,-6.66717764643651
2.72,-6.66718273250233
2.74,-6.66718781346859
2.76,-6.66719289322695
2.78,-6.6671979752696
2.8,-6.66720306270447
2.82,-6.6672081582704
2.84,-6.66721326435284
2.86,-6.6672183829998
2.88,-6.66722351593776
2.9,-6.66722866458791
2.92,-6.66723383008226
2.94,-6.66723901327972
2.96,-6.66724421478176
2.98,-6.66724943494847
3,-6.66725467391387
3.02,-6.66725993160124
3.04,-6.66726520773794
3.06,-6.66727050187015
3.08,-6.66727581337697
3.1,-6.66728114148442
3.12,-6.66728648527871
3.14,-6.66729184371944
3.16,-6.66729721565212
3.18,-6.6673025998203
3.2,-6.66730799487721
3.22,-6.66731339939724
3.24,-6.66731881188646
3.26,-6.66732423079306
3.28,-6.66732965451729
3.3,-6.66733508142066
3.32,-6.66734050983517
3.34,-6.6673459380715
3.36,-6.66735136442736
3.38,-6.66735678719501
3.4,-6.66736220466841
3.42,-6.66736761515
3.44,-6.66737301695727
3.46,-6.66737840842843
3.48,-6.6673837879282
3.5,-6.667389153853
3.52,-6.66739450463573
3.54,-6.66739983875028
3.56,-6.66740515471567
3.58,-6.66741045109985
3.6,-6.66741572652328
3.62,-6.66742097966187
3.64,-6.6674262092502
3.66,-6.66743141408376
3.68,-6.66743659302156
3.7,-6.66744174498807
3.72,-6.66744686897502
3.74,-6.66745196404291
3.76,-6.66745702932263
3.78,-6.66746206401614
3.8,-6.66746706739784
3.82,-6.66747203881496
3.84,-6.66747697768828
3.86,-6.66748188351243
3.88,-6.66748675585606
3.9,-6.66749159436194
3.92,-6.6674963987468
3.94,-6.66750116880102
3.96,-6.66750590438845
3.98,-6.66751060544567
4,-6.66751527198152
4.02,-6.66751990407625
4.04,-6.66752450188088
4.06,-6.66752906561609
4.08,-6.66753359557138
4.1,-6.66753809210381
4.12,-6.66754255563703
4.14,-6.66754698665996
4.16,-6.66755138572543
4.18,-6.6675557534491
4.2,-6.66756009050774
4.22,-6.66756439763808
4.24,-6.66756867563514
4.26,-6.66757292535083
4.28,-6.66757714769247
4.3,-6.66758134362093
4.32,-6.66758551414943
4.34,-6.66758966034164
4.36,-6.66759378331023
4.38,-6.66759788421506
4.4,-6.66760196426155
4.42,-6.66760602469928
4.44,-6.66761006682004
4.46,-6.66761409195615
4.48,-6.66761810147898
4.5,-6.66762209679722
4.52,-6.66762607935504
4.54,-6.66763005063073
4.56,-6.66763401213479
4.58,-6.66763796540846
4.6,-6.66764191202202
4.62,-6.66764585357304
4.64,-6.66764979168505
4.66,-6.66765372800571
4.68,-6.66765766420528
4.7,-6.6676616019751
4.72,-6.66766554302607
4.74,-6.66766948908693
4.76,-6.66767344190304
4.78,-6.66767740323458
4.8,-6.66768137485517
4.82,-6.66768535855058
4.84,-6.66768935611696
4.86,-6.66769336935965
4.88,-6.66769740009168
4.9,-6.6677014501324
4.92,-6.66770552130608
4.94,-6.66770961544054
4.96,-6.66771373436591
4.98,-6.66771787991309
5,-6.66772205391272
5.02,-6.66772625819362
5.04,-6.66773049458176
5.06,-6.6677347648988
5.08,-6.66773907096096
5.1,-6.66774341457778
5.12,-6.6677477975509
5.14,-6.66775222167284
5.16,-6.66775668872584
5.18,-6.66776120048075
5.2,-6.66776575869569
5.22,-6.66777036511514
5.24,-6.66777502146867
5.26,-6.6677797294698
5.28,-6.66778449081498
5.3,-6.66778930718247
5.32,-6.66779418023117
5.34,-6.66779911159963
5.36,-6.66780410290499
5.38,-6.66780915574171
5.4,-6.6678142716809
5.42,-6.66781945226888
5.44,-6.66782469902633
5.46,-6.66783001344724
5.48,-6.66783539699779
5.5,-6.66784085111544
5.52,-6.66784637720778
5.54,-6.66785197665152
5.56,-6.66785765079149
5.58,-6.66786340093962
5.6,-6.66786922837383
5.62,-6.66787513433702
5.64,-6.66788112003603
5.66,-6.66788718664056
5.68,-6.66789333528209
5.7,-6.66789956705286
5.72,-6.66790588300467
5.74,-6.66791228414786
5.76,-6.66791877145001
5.78,-6.66792534583509
5.8,-6.66793200818186
5.82,-6.6679387593229
5.84,-6.66794560004334
5.86,-6.6679525310795
5.88,-6.66795955311752
5.9,-6.66796666679194
5.92,-6.6679738726843
5.94,-6.66798117132161
5.96,-6.66798856317462
5.98,-6.66799604865623
6,-6.66800362811964
6.02,-6.66801130185651
6.04,-6.66801907009485
6.06,-6.66802693299694
6.08,-6.66803489065698
6.1,-6.66804294309868
6.12,-6.66805109027255
6.14,-6.66805933205309
6.16,-6.66806766823571
6.18,-6.66807609853344
6.2,-6.66808462257325
6.22,-6.66809323989222
6.24,-6.66810194993333
6.26,-6.66811075204076
6.28,-6.66811964545496
6.3,-6.66812862930705
6.32,-6.66813770261295
6.34,-6.66814686426676
6.36,-6.66815611303351
6.38,-6.6681654475415
6.4,-6.66817486627334
6.42,-6.66818436755676
6.44,-6.66819394955386
6.46,-6.66820361024985
6.48,-6.66821334744019
6.5,-6.66822315871659
6.52,-6.66823304145155
6.54,-6.6682429927813
6.56,-6.66825300958672
6.58,-6.66826308847238
6.6,-6.66827322574316
6.62,-6.66828341737855
6.64,-6.66829365900355
6.66,-6.66830394585685
6.68,-6.66831427275497
6.7,-6.66832463405245
6.72,-6.66833502359725
6.74,-6.66834543468097
6.76,-6.66835585998318
6.78,-6.66836629150885
6.8,-6.66837672051834
6.82,-6.66838713744877
6.84,-6.66839753182579
6.86,-6.66840789216406
6.88,-6.66841820585576
6.9,-6.66842845904517
6.92,-6.66843863648705
6.94,-6.66844872138835
6.96,-6.66845869522945
6.98,-6.66846853756421
7,-6.66847822579581
7.02,-6.66848773492601
7.04,-6.66849703727629
7.06,-6.66850610217835
7.08,-6.66851489563277
7.1,-6.66852337993569
7.12,-6.66853151327364
7.14,-6.66853924929026
7.16,-6.66854653663015
7.18,-6.66855331846999
7.2,-6.66855953205258
7.22,-6.66856510824681
7.24,-6.66856997116624
7.26,-6.66857403789235
7.28,-6.66857721836269
7.3,-6.66857941550425
7.32,-6.66858052571293
7.34,-6.66858043980278
7.36,-6.66857904457089
7.38,-6.66857622514019
7.4,-6.66857186824739
7.42,-6.6685658666269
7.44,-6.66855812459291
7.46,-6.66854856482466
7.48,-6.66853713620552
7.5,-6.66852382234576
7.52,-6.66850865014282
7.54,-6.66849169743404
7.56,-6.66847309854572
7.58,-6.66845304644564
7.6,-6.66843179039119
7.62,-6.66840962854844
7.64,-6.66838689604847
7.66,-6.66836395016633
7.68,-6.6683411553161
7.7,-6.66831887071531
7.72,-6.66829744238749
7.74,-6.66827719878618
7.76,-6.66825844688844
7.78,-6.66824146485404
7.8,-6.66822648929417
7.82,-6.66821369895327
7.84,-6.66820319971886
7.86,-6.66819501625993
7.88,-6.6681890932103
7.9,-6.66818530540849
7.92,-6.66818347419198
7.94,-6.66818338595108
7.96,-6.66818480975238
7.98,-6.66818751206678
8,-6.66819126782677
8.02,-6.6681958678817
8.04,-6.6682011233774
8.06,-6.66820686775003
8.08,-6.6682129570071
8.1,-6.66821926886966
8.12,-6.66822570122221
8.14,-6.66823217019718
8.16,-6.66823860812081
8.18,-6.6682449614691
8.2,-6.66825118892498
8.22,-6.66825725958776
8.24,-6.66826315135896
8.26,-6.66826884950978
8.28,-6.66827434542585
8.3,-6.66827963551755
8.32,-6.66828472028147
8.34,-6.66828960349695
8.36,-6.66829429154271
8.38,-6.66829879281786
8.4,-6.66830311725399
8.42,-6.66830727590599
8.44,-6.66831128061023
8.46,-6.66831514370082
8.48,-6.66831887777515
8.5,-6.66832249550161
8.52,-6.66832600946298
8.54,-6.66832943203019
8.56,-6.66833277526187
8.58,-6.66833605082514
8.6,-6.668339269935
8.62,-6.66834244330886
8.64,-6.66834558113381
8.66,-6.66834869304465
8.68,-6.66835178811082
8.7,-6.66835487483057
8.72,-6.66835796113117
8.74,-6.66836105437426
8.76,-6.6683641613648
8.78,-6.66836728836357
8.8,-6.66837044110192
8.82,-6.6683736247987
8.84,-6.66837684417846
8.86,-6.66838010349078
8.88,-6.66838340653042
8.9,-6.66838675665782
8.92,-6.66839015681977
8.94,-6.66839360957018
8.96,-6.66839711709067
8.98,-6.66840068121093
9,-6.66840430342856
9.02,-6.6684079849286
9.04,-6.66841172660245
9.06,-6.66841552906614
9.08,-6.66841939267808
9.1,-6.66842331755617
9.12,-6.668427303594
9.14,-6.66843135047676
9.16,-6.66843545769609
9.18,-6.66843962456441
9.2,-6.66844385022865
9.22,-6.66844813368312
9.24,-6.66845247378187
9.26,-6.66845686925028
9.28,-6.66846131869622
9.3,-6.66846582062031
9.32,-6.66847037342595
9.34,-6.66847497542845
9.36,-6.66847962486385
9.38,-6.66848431989708
9.4,-6.66848905862966
9.42,-6.66849383910694
9.44,-6.66849865932492
9.46,-6.66850351723646
9.48,-6.6685084107573
9.5,-6.66851333777155
9.52,-6.6685182961368
9.54,-6.66852328368887
9.56,-6.66852829824639
9.58,-6.66853333761484
9.6,-6.66853839959031
9.62,-6.66854348196312
9.64,-6.66854858252117
9.66,-6.66855369905272
9.68,-6.66855882934943
9.7,-6.66856397120865
9.72,-6.66856912243604
9.74,-6.66857428084746
9.76,-6.66857944427111
9.78,-6.66858461054916
9.8,-6.66858977753948
9.82,-6.66859494311706
9.84,-6.66860010517533
9.86,-6.66860526162737
9.88,-6.66861041040691
9.9,-6.66861554946936
9.92,-6.66862067679261
9.94,-6.66862579037771
9.96,-6.66863088824965
9.98,-6.6686359684578
10,-6.6686410290764
